Soil Moisture,Temperature,Soil Humidity,Time,Air temperature (C),Air humidity (%),Pressure (KPa),ph
54,22,70,21,19.52,55.04,101.5,6.502985292
12,20,40,104,19.49,55.17,101.5,7.038096361
34,26,35,62,19.47,55.3,101.51,7.840207144
7,44,44,93,19.54,54.2,101.51,6.980400905
50,38,23,92,19.61,53.09,101.51,7.628472891
4,26,52,6,19.67,51.91,101.51,7.073453503
15,34,58,82,19.74,50.72,101.5,5.70080568
45,30,43,85,19.8,49.54,101.5,5.718627178
47,4,42,2,19.91,47.7,101.5,6.685346424
19,41,22,0,20.02,45.86,101.5,6.336253525
63,44,65,75,20.1,44.76,101.5,5.386167788
88,34,41,71,20.19,43.67,101.49,7.50283396
39,20,70,82,20.3,42.56,101.49,5.108681786
65,43,44,93,20.41,41.44,101.49,6.98435366
50,27,50,4,20.41,41.58,101.48,6.94801983
39,22,48,80,20.41,41.71,101.48,7.042299069
18,33,44,74,20.61,40.34,101.48,6.249050656
66,43,35,64,20.81,38.96,101.48,6.970859754
68,25,59,3,20.93,37.33,101.48,5.953933276
20,36,53,74,21.06,35.69,101.48,5.85393208
40,17,35,70,21.18,34.06,101.47,6.442475375
2,34,64,101,21.3,32.42,101.47,5.070175667
22,35,32,109,21.35,31.07,101.46,6.012632591
1,19,70,56,21.4,29.72,101.46,6.254028451
5,23,27,4,21.44,28.38,101.46,7.375482851
10,28,30,75,21.49,27.03,101.45,7.778915154
25,13,66,50,21.56,26.62,101.44,6.286500176
20,45,61,83,21.62,26.22,101.43,7.070959995
40,29,39,98,21.66,25.72,101.42,6.244841491
26,13,70,71,21.69,25.21,101.41,6.043304899
71,6,59,88,21.48,25.8,101.4,5.824709117
37,21,24,22,21.28,26.39,101.4,6.357389366
76,12,47,51,21.3,25.53,101.39,6.364134968
44,24,45,82,21.32,24.67,101.38,5.01450727
24,8,47,38,21.28,24.32,101.38,6.149410611
70,6,63,90,21.24,23.96,101.37,5.950660556
32,23,28,84,21.2,23.81,101.36,5.960370061
44,24,39,77,21.16,23.66,101.36,5.561398642
4,45,49,32,21.13,23.5,101.35,7.416245107
63,40,48,89,21.09,23.35,101.35,5.583370042
49,29,55,4,21.1,23.09,101.35,6.430010215
26,32,70,73,21.11,22.84,101.34,5.534878156
58,32,38,91,21.12,22.58,101.34,6.903985986
45,0,69,87,21.13,22.32,101.34,6.271478838
37,7,32,76,20.94,22.58,101.34,7.224285503
16,44,57,93,20.76,22.83,101.34,6.13428721
75,2,31,96,20.56,23.4,101.34,5.206373153
82,16,62,33,20.36,23.97,101.34,7.782051313
72,28,21,92,20.15,24.54,101.33,7.062779015
53,1,51,32,19.95,25.11,101.33,7.730367824
13,24,48,17,19.71,26.29,101.34,5.286203711
41,18,34,86,19.47,27.47,101.34,6.766240045
53,2,30,64,19.32,27.99,101.34,7.382762603
76,14,48,58,19.18,28.51,101.34,5.658169482
9,36,37,96,19.21,28.64,101.34,5.543360238
66,1,56,106,19.24,28.77,101.34,6.215109715
12,16,25,94,19.17,29.56,101.34,7.120272972
29,10,67,50,19.1,30.36,101.33,5.950647577
37,34,57,2,19.02,31.01,101.33,7.236705436
8,28,67,10,18.93,31.66,101.33,6.501697816
55,1,68,37,18.74,31.96,101.33,7.592490617
9,1,32,101,18.55,32.25,101.33,5.875345751
41,27,23,63,18.63,31.86,101.33,6.932400225
31,8,33,43,18.71,31.47,101.33,6.946209881
80,38,52,12,18.87,30.63,101.34,5.739175027
7,27,59,107,19.03,29.79,101.34,6.738652179
13,4,41,23,19.02,29.64,101.34,5.594819626
42,18,36,39,19.0,29.5,101.35,6.946636369
72,21,26,63,19.04,29.16,101.35,5.012139669
21,33,21,5,19.07,28.81,101.35,6.363472208
14,4,51,28,19.11,28.47,101.35,6.880431223
16,19,51,40,19.11,28.2,101.35,7.300410836
11,9,26,104,19.1,27.92,101.36,6.587918708
7,17,52,17,19.1,27.65,101.36,7.283736617
56,3,64,90,19.1,27.38,101.37,7.023936392
42,19,55,11,18.87,27.66,101.37,6.939083505
78,41,70,62,18.64,27.93,101.37,7.868474653
16,37,48,48,18.48,28.11,101.36,5.005306977
87,14,21,86,18.31,28.29,101.36,6.136131869
22,22,55,94,18.46,27.32,101.36,7.524080076
77,41,47,89,18.62,26.36,101.37,5.706943251
45,31,65,15,18.72,25.4,101.38,5.758506323
84,39,50,21,18.81,24.45,101.38,6.349606327
12,3,43,34,19.04,23.14,101.38,5.999969026
17,40,57,5,19.27,21.83,101.39,5.453592032
12,35,34,1,19.36,21.06,101.4,6.372576327
6,40,44,92,19.45,20.29,101.41,5.105588355
21,4,48,39,19.42,20.58,101.42,5.935344406
71,41,49,11,19.38,20.88,101.43,5.17782304
17,27,40,15,19.33,21.33,101.44,6.462391607
67,24,31,79,19.28,21.78,101.44,7.069172227
34,24,63,84,19.24,22.22,101.44,7.473134377
68,13,57,105,19.19,22.67,101.45,6.158376967
52,3,35,0,19.26,22.7,101.46,7.549873681
80,18,24,59,19.32,22.74,101.46,6.028321558
11,11,29,7,19.6,22.42,101.46,6.604993475
63,27,26,22,19.89,22.11,101.46,6.500343222
88,43,58,86,20.28,22.04,101.46,5.935745417
79,21,58,71,20.68,21.97,101.47,7.072655622
2,37,30,28,21.21,21.44,101.48,5.333322606
49,33,61,72,21.74,20.9,101.49,5.749914421
64,27,58,94,22.44,20.58,101.49,6.931756558
71,36,25,68,23.13,20.27,101.49,6.657964753
51,27,66,89,23.76,19.5,101.49,6.596060648
67,26,60,25,24.4,18.73,101.5,5.970458434
12,0,63,2,25.04,17.96,101.5,6.158830619
67,3,44,95,25.67,17.2,101.51,6.047906679
54,31,49,88,26.3,16.43,101.52,5.913664501
49,33,31,86,26.94,15.66,101.52,5.855442401
24,29,34,36,27.38,14.2,101.52,5.750254943
27,18,38,21,27.83,12.75,101.52,5.852607099
50,35,20,18,28.14,12.24,101.52,6.472523287
51,26,32,4,28.46,11.74,101.53,6.967057762
38,26,34,16,28.94,11.29,101.54,6.082973754
23,45,50,106,29.42,10.84,101.55,5.919045532
27,29,60,88,29.82,10.43,101.55,6.204747653
72,39,21,87,30.22,10.02,101.55,6.600827017
89,19,38,18,30.54,9.84,101.55,6.021902237
36,28,55,36,30.86,9.65,101.55,6.033550195
4,5,45,63,31.27,9.33,101.56,6.28886807
21,37,48,32,31.69,9.01,101.56,6.550563823
8,37,58,103,32.1,8.7,101.56,5.573286437
5,27,28,22,32.51,8.38,101.57,6.829199275
1,10,56,67,32.93,8.06,101.58,5.716222912
2,40,43,36,33.34,7.74,101.58,5.54990242
63,35,30,106,33.28,7.15,101.58,6.586244581
17,39,38,18,33.23,6.56,101.59,5.893093135
33,19,26,103,33.62,6.36,101.58,5.918263801
21,6,67,74,34.01,6.17,101.58,5.588650585
84,29,36,41,34.36,5.97,101.58,6.576418207
35,28,23,73,34.71,5.77,101.58,6.178056304
81,4,35,21,35.04,5.66,101.57,6.641906353
44,41,22,6,35.37,5.56,101.56,6.489040367
53,6,68,73,35.04,5.48,101.56,5.680361038
25,18,66,21,34.71,5.41,101.55,6.625404348
22,28,38,40,35.13,5.28,101.55,6.524478032
57,44,44,25,35.55,5.14,101.55,5.696205468
